mfn;numero_control;titulo;autores;responsabilidad;lugar;editorial;anio;isbn;descripcion_fisica;coleccion;idioma;temas;inventarios;ubicaciones;signaturas
1557;BNM001557;Diccionario de la lengua española;Real Academia Española;Real Academia Española;Buenos Aires;Real Academia Española;2001;978-950-852-150-7;1180 p. v. I;;español;DICCIONARIOS | LENGUA ESPANOLA | REFERENCIA;002792 | 002867;KAMSHEN;(038)=134.2 DIC | (038)=134.2 DIC
1558;BNM001558;Diccionario de la lengua española;Real Academia Española;Real Academia Española;Buenos Aires;Real Academia Española;2001;978-950-852-151-4;1190 p. v. II;;español;DICCIONARIOS | LENGUA ESPANOLA | REFERENCIA;002793 | 002868;KAMSHEN;(038)=134.2 REA | (038)=134.2 REA
1559;BNM001559;Piedras de agua: cuaderno de una actriz del Odin Teatret;Varley, Julia | Woolf, Ana;Julia Varley , traducido por Ana Woolf;Buenos Aires;Instituto Nacional del Teatro;2010;978-987-9433-77-5;242 p.;Estudios Teatrales;español;TEATRO | ARTE | TECNICA TEATRAL;3592;KAMSHEN;792.01 VAR
1560;BNM001560;Nuevo manual Merck: de información médica general;Beers, Mark H;, dirigido por Mark H. Beers;Barcelona;Oceano;2007;978-84-494-3312-2;1119 p.;;español;MEDICINA | ANATOMIA | FARMACOLOGIA | ENFERMEDADES CARDIOVASCULARES | ENFERMEDADES RESPIRATORIAS | ACCIDENTES | CIRUGIA | ENFERMEDADES | TRASTORNOS RESPIRATORIOS | INFANCIA | ENFERMERIA | PROCESO DE ENFERMERIA | ENFERMEDADES MENTALES | ENFERMEDADES OSEAS | MEDICINA Y SALUD;3625;KAMSHEN;61 NUE
1561;BNM001561;Nuevo manual Merck: de información médica general;Beers, Mark H;, dirigido por Mark H. Beers;Barcelona;Oceano;2007;978-84-494-3313-9;1052 p.;;español;MEDICINA | ENFERMEDADES | ENFERMEDADES ENDOCRINAS | SANGRE | ACCIDENTES | TRASTORNOS METABOLICOS | INFECCIONES | INFANCIA | ENFERMERIA | PROCESO DE ENFERMERIA | MEDICINA Y SALUD;3626;KAMSHEN;61 NUE
1562;BNM001562;Historia de los argentinos;Floria, Carlos | Garcia Belsunce, César A;Carlos Floria , César A. Garcia Belsunce;Buenos Aires;El Ateneo;2009;978-950-02-0465-1;1031 p.;;español;HISTORIA POLITICA ARGENTINA | DEMOCRACIA | ROSAS Y SU TIEMPO | REVOLUCION | PERONISMO | ARISTOCRACIA | HISTORIA;003632 | 003721;KAMSHEN;94(82) FLO | 94(82) FLO
1563;BNM001563;Nunca mas: Infrome de la Comisión Nacional sobre la Desaparición de Personas;Argentina;;Buenos Aires;EUDEBA;2009;978-950-23-1557-7;496 p.;Derechos humanos;español;HISTORIA ARGENTINA | DERECHOS HUMANOS | TERRORISMO | TORTURA | ARGENTINA | GOLPES DE ESTADO | PROCESO MILITAR | DESAPARICION DE PERSONAS | HISTORIA;3630;KAMSHEN;94(82) CON
1564;BNM001564;El fueguino: la cautivante historia de Jemmy Button;Canclini, Arnoldo;Arnoldo Canclini;Buenos Aires;[El autor];2009;978-950-754-170-4;254 p.;;español;HISTORIA ARGENTINA | HISTORIA FUEGUINA | NOVELAS | TIERRA DEL FUEGO | HISTORIA;3631;KAMSHEN;(828.9)94 CAN
1565;BNM001565;La cocina del fin del mundo;Fernández, Julio;, compilado por Julio Fernández;Santa Fe;[El autor];2010;978-987-05-9060-6;416 p.;;español;GASTRONOMIA | ALIMENTOS | COCINA | RECETAS | TIERRA DEL FUEGO;3635;KAMSHEN;(828.9)641.568 FER
1566;BNM001566;Gestión de la prevención de riesgos laborales: OHSAS 18001- Directrices para su integración con calidad y medioambiente;Rubio Romero, Juan Carlos;Juan Carlos Rubio Romero;Madrid;Díaz de Santos;2002;84-7978-525-X;221 p.;;español;SEGURIDAD LABORAL | GESTION DE LOS RIESGOS | LIDERAZGO | PREVENCION DE RIESGOS | RIESGOS LABORALES | DERECHO LABORAL | NORMAS ISO | OIT | OHSAS | TRABAJO Y EMPLEO;3629;KAMSHEN;331.4 RUB
1567;BNM001567;Código civil y leyes complementarias: Anotados con jurisprudencia;López Mesa, Marcelo J | Torres Santomé, Natalia E;, Marcelo J. López Mesa, Natalia E. Torres Santomé;Buenos Aires;Lexis Nexis Argentina;2007;978-987-592-299-0;859 p.;;español;DERECHO CIVIL | JURISPRUDENCIA | LEGISLACION | ARGENTINA | CODIGO CIVIL | DERECHO;3620;KAMSHEN;347 LOP
1568;BNM001568;Código civil y leyes complementarias: Anotados con jurisprudencia;López Mesa, Marcelo J | Garrido Cordobera, Lidia;, Marcelo J. López Mesa, Lidia Garrido Cordobera;Buenos Aires;Lexis Nexis Argentina;2007;978-987-592-309-6;[859 p.];;español;DERECHO CIVIL | JURISPRUDENCIA | LEGISLACION | ARGENTINA | CODIGO CIVIL | DERECHO;3621;KAMSHEN;347 LOP
1569;BNM001569;Código civil y leyes complementarias: Anotados con jurisprudencia;López Mesa, Marcelo J | Garrido Cordobera, Lidia;, Marcelo J. López Mesa, Lidia Garrido Cordobera;Buenos Aires;Lexis Nexis Argentina;2007;978-987-592-309-6;[859 p.];;español;DERECHO CIVIL | JURISPRUDENCIA | LEGISLACION | ARGENTINA | CODIGO CIVIL | DERECHO;3622;KAMSHEN;347 LOP
1570;BNM001570;Código civil y leyes complementarias: Anotados con jurisprudencia;López Mesa, Marcelo J | Wilde, Zulema D;, Marcelo J. López Mesa, Zulema D. Wilde;Buenos Aires;Lexis Nexis Argentina;2007;978-987-592-311-9;[859 p.];;español;DERECHO CIVIL | JURISPRUDENCIA | LEGISLACION | ARGENTINA | CODIGO CIVIL | DERECHO;3623;KAMSHEN;347 LOP
1571;BNM001571;Código civil y leyes complementarias: Anotados con jurisprudencia;López Mesa, Marcelo J;, Marcelo J. López Mesa;Buenos Aires;Lexis Nexis Argentina;2007;978-987-592-312-6;[859 p.];;español;DERECHO CIVIL | JURISPRUDENCIA | LEGISLACION | ARGENTINA | CODIGO CIVIL | DERECHO;3624;KAMSHEN;347 LOP
1572;BNM001572;Relaciones colectivas de trabajo;Ackerman, Mario E | Tosca, Diego M;Mario E. Ackerman , Diego M. Tosca;Buenos Aires;Rubinzal-Culzoni;2007;978-950-727-840-2;948 p.;;español;RELACIONES LABORALES | TRABAJO | SINDICALISMO | CONVENIOS COLECTIVOS | NEGACIACION COLECTIVA | SINDICATOS | ARGENTINA | TRABAJADORES | LEGISLACION DEL TRABAJO | TRABAJO Y EMPLEO;3618;KAMSHEN;331 ACK
1573;BNM001573;Relaciones colectivas de trabajo;Ackerman, Mario E | Tosca, Diego M;Mario E. Ackerman , Diego M. Tosca;Buenos Aires;Rubinzal-Culzoni;2007;978-950-727-843-3;1114 p.;;español;RELACIONES LABORALES | TRABAJO | SINDICALISMO | CONVENIOS COLECTIVOS | NEGACIACION COLECTIVA | ESTADO | ARGENTINA | TRABAJADORES | LEGISLACION DEL TRABAJO | SECTOR PUBLICO | EMPRESA | TRABAJO Y EMPLEO;3619;KAMSHEN;331 ACK
1574;BNM001574;Las tranformacciones de la empresa en el derecho del trabajo;Ackerman, Mario E | Tosca, Diego M;, compilado por Mario E. Ackerman,  y Diego M. Tosca;Buenos Aires;Rubinzal-Culzoni;2007;978-950-727-775-7;885 p.;;español;EMPRESAS | RELACIONES LABORALES | LEGISLACION DEL TRABAJO | TRABAJO | MERCOSUR | TRABAJO Y EMPLEO;3617;KAMSHEN;331:65 ACK
1575;BNM001575;El fin de los medios masivos: el comienzo de un debate;Carlón, Mario | Scolari, Carlos A;, editado por Mario Carlón,  y Carlos A. Scolari;Buenos Aires;La Crujia;2009;978-987-601-087-0;256 p.;Inclusiones;español;MEDIOS DE COMUNICACION | COMUNICACION | TELEVISION | CINE | INTERNET | LIBROS | RADIO | MUSICA;3633;KAMSHEN;007 FIN
1576;BNM001576;El volver de las imágenes: miara, guardar, perder;Steimberg, Oscar | Traversa, Oscar | Soto, Marita;, editado por Oscar sSteimberg, Oscar Traversa,  y Marita Soto;Buenos Aires;La Crujia;2008;978-987-601-067-2;448 p.;Inclusiones;español;MEDIOS DE COMUNICACION | COMUNICACION | CINE | TELEVISION | PUBLICIDAD | ARTE | INTERNET;003634 | 005934;KAMSHEN;007 VOL | 007 VOL
1577;BNM001577;Diccionario de preguntas. La trilogía: las preguntas para evalua las competencias más utilizadas;Alles, Martha Alicia;Martha Alicia Alles;Buenos Aires;Granica;2009;978-950-641-566-2;292 p.;;español;RECURSOS HUMANOS | EVALUACION DEL PERSONAL | MOTIVACIONES | FORMACION PROFESIONAL | DICCIONARIOS | GESTION POR COMPETENCIAS | ADMINISTRACION Y ORGANIZACION;3700;KAMSHEN;658.3(038) ALL
1578;BNM001578;Manual de derecho civil: sucesiones;Borda, Guillermo A | Borda, Guillermo Julio | Borda, Delfina;Guillermo A. Borda , con la colaboración de Guillermo Julio Borda,  y Delfina Borda;Buenos Aires;La Ley;2008;978-987-03-1315-1;544 p.;;español;DERECHO CIVIL | MANUALES | SUCESIONES | DERECHO;3691;KAMSHEN;347.6 (035) BOR
1579;BNM001579;Código civil de la República Argentina: y legislación complemantaria;Argentina;Argentina;Buenos Aires;Abeledo-Perrot;2011;978-950-20-2157-7;1176 p.;;español;DERECHO CIVIL | ARGENTINA | LEGISLACION | CODIGO CIVIL | DERECHO;OO3639;KAMSHEN;347 COD
1580;BNM001580;Manual de derecho civil: familia;Borda, Guillermo A | Borda, Guillermo Julio;Guillermo A. Borda , adaptador de Guillermo Julio Borda;Buenos Aires;La Ley;2009;978-987-03-1314-4;496 p.;;español;DERECHO | DERECHO CIVIL | DERECHO DE FAMILIA | MANUALES;3692;KAMSHEN;347.6(035) BOR
1581;BNM001581;Enfermería maternoinfantil y neonatal: compendio de técnicas;Bustos, Gladis Graciela | Perepelycia, Ludmila;Gladis Graciela Bustos , Ludmila Perepelycia;Rosario;Corpus;2010;978-950-9030-85-5;284 p.;;español;PEDIATRIA | SALUD MATERNOINFANTIL | SALUD INFANTIL | ATENCION PRENATAL | EMBARAZO | ATENCION PERINATAL | ENFERMERIA | ENFERMERIA MATERNOINFANTIL | PARTO | PUERPERIO | MEDICINA Y SALUD;3683;KAMSHEN;613.95 BUS
1582;BNM001582;Manual de derecho civil: Obligaciones;Borda, Guillermo A | Borda, Alejandro;Guillermo A. Borda , Alejandro Borda;Buenos Aires;La Ley;2008;978-987-03-1311-3;656 p.;;español;DERECHO | DERECHO CIVIL | OBLIGACIONES | MANUALES;3641;KAMSHEN;347.42(035) BOR
1583;BNM001583;Manual de derecho civil: Reales;Borda, Guillermo A | Borda, Delfina;Guillermo A. Borda , Delfina Borda;Buenos Aires;La Ley;2008;978-987-03-1313-7;848 p.;;español;DERECHO CIVIL | MANUALES | BIENES MUEBLES | ARGENTINA | REALES | DERECHO;3640;KAMSHEN;347.2(035) BOR
1584;BNM001584;Derecho de la negociación colectiva;Arese, César;César Arese;Buenos Aires;Rubinzal-Culzoni;2008;978-950-727-928-7;640 p.;;español;RELACIONES LABORALES | LEGISLACION DEL TRABAJO | SINDICALISMO | CONVENIOS COLECTIVOS | NEGACIACION COLECTIVA | LEGISLACION LABORAL | SALARIO | DERECHO LABORAL | TRABAJO Y EMPLEO;3656;KAMSHEN;331 ARE
1585;BNM001585;La relación de trabajo;Ackerman, Mario E | Sudera, Alejandro;, Mario E. Ackerman, Alejandro Sudera;Buenos Aires;Rubinzal-Culzoni;2009;978-987-30-0023-2;624 p.;;español;RELACIONES LABORALES | TRABAJO | TRABAJADORES | TRABAJO DE MENORES | SEGURIDAD LABORAL | CONTRATOS | DERECHO DEL TRABAJO | DERECHO LABORAL | TRABAJO Y EMPLEO;3698;KAMSHEN;331 ACK
1586;BNM001586;Contratos;Mosset Iturraspe, Jorge;Jorge Mosset Iturraspe;Buenos Aires;Rubinzal-Culzoni;2007;978-950-727-071-0;559 p.;;español;DERECHO CIVIL | CONTRATOS | ARGENTINA | DERECHO;3689;KAMSHEN;347 MOS
1587;BNM001587;Derecho público provincial;Hernández, Antonio María;, coordinado por Antonio María Hernández;Buenos Aires;Lexis Nexis Argentina;2008;978-987-592-318-8;696 p.;;español;DERECHO PUBLICO | ESTADO | FEDERALISMO | PROVINCIAS | CONSTITUCIONES | PODER EJECUTIVO | PODER LEGISLATIVO | PODER JUDICIAL | ORGANISMOS DE CONTROL | DEFENSOR DEL PUEBLO | ARGENTINA | DERECHOS POLITICOS | DERECHO;3690;KAMSHEN;342 DER
1588;BNM001588;Guía de estudio laboral: derecho del trabajo y de la seguridad social;Grisolia, Julio Armando;Julio Armando Grisolia;Buenos Aires;Editorial Estudio;2011;978-950-897-322-1;368 p.;;español;DERECHO DEL TRABAJO | SEGURIDAD SOCIAL | TRABAJO | CONTRATOS | EMPLEO | SALARIO | ARGENTINA | DERECHO LABORAL | DERECHO;3697;KAMSHEN;349.2 (036) GRI
1589;BNM001589;Guía de estudio administrativo: programa desarrollado de la materia;Font, Monserat;Monserat Font;Buenos Aires;Editorial Estudio;2010;978-950-897-309-2;304 p.;;español;DERECHO ADMINISTRATIVO | ADMINISTRACION | ESTADO | PODER EJECUTIVO | ADMINISTRACION PUBLICA | CONTRATOS PUBLICOS | RECURSOS | ARGENTINA | ACTOS ADMINISTRATIVOS | ADMINISTRACION Y ORGANIZACION;3696;KAMSHEN;342.9 FON
1590;BNM001590;Empresas recuperadas y cooperativas de trabajo;Tevez, Alejandra Noemí | Etcheverry, Raúl Aníbal;Alejandra Noemí Tevez , con prólogo de Raúl Aníbal Etcheverry;Buenos Aires;Astrea;2010;978-950-508-903-1;360 p.;;español;EMPRESAS | COOPERATIVAS | TRABAJO | QUIEBRA | EXPROPIACION | TRABAJADORES | DERECHO MERCANTIL | LEGISLACION | EMPRESAS RECUPARADAS | DERECHO;3705;KAMSHEN;347.7 TEV
1591;BNM001591;Políticas sociales, trabajo y trabajadores en el capitalismo actual: aportes teóricos y empíricos para una estrategia de emancipación;Fernández Soto, Silvia | Tripiana, Jorge;, coordinado por Silvia Fernández Soto,  y Jorge Tripiana;Buenos Aires;Espacio;2009;978-950-802-321-6;186 p.;Ciencias Sociales;español;CIENCIA POLITICA | POLITICA SOCIAL | TRABAJO | TRABAJADORES | CAPITALISMO | DESEMPLEO | CLASES TRABAJADORAS | SOCIOLOGIA POLITICA | POLITICA ECONOMICA | TRABAJO SOCIAL | INVESTIGACION SOCIAL | ARGENTINA | POLITICA;3701;KAMSHEN;304.42+331 POL
1592;BNM001592;Escribir, leer y aprender en la universidad: una introducción a la alfabetización académica;Carlino, Paula;Paula Carlino;Buenos Aires;Fondo de Cultura Económica;2009;978-950-557-653-1;200 p.;Educación y pedagogía;español;EDUCACION SUPERIOR | ESCRITURA | LECTURA | EVALUACION | APRENDIZAJE | EDUCACION;3681;KAMSHEN;378 CAR
1593;BNM001593;Los alumnos univeritarios y la escritura académica: análisis de un problema;Desinano, Norma;Norma Desinano;Rosario;Homo Sapiens Ediciones;2009;978-950-808-589-4;208 p.;Educación;español;EDUCACION SUPERIOR | ALUMNOS | ESCRITURA | UNIVERSIDADES | LINGUISTICA | EDUCACION;3666;KAMSHEN;378 DES
1594;BNM001594;Los dispositivos para la formación en las prácticas preofesionales;Sanjurjo, Liliana;, coordinado por Liliana Sanjurjo;Rosario;Homo Sapiens Ediciones;2009;978-950-808-589-4;208 p.;Educación;español;EDUCACION SUPERIOR | FORMACION PROFESIONAL | PRACTICA PEDAGOGICA | FORMACION DE DOCENTES | INVESTIGACION | DOCENTES | SOCIALIZACION | EDUCACION;3673;KAMSHEN;371.13 DIS
1595;BNM001595;La didáctica del texto: estrategias para comprender y producir texros en el aula;Avendaño, Fernando | Perrone, Adriana;Fernando Avendaño , Adriana Perrone;Rosario;Homo Sapiens Ediciones;2009;978-950-808-601-3;200 p.;Educación;español;EDUCACION | DIDACTICA | LINGUISTICA | ESCRITURA;3672;KAMSHEN;37.013 AVE
1596;BNM001596;Ushuaia;Vairo, Carlos Pedro;Carlos Pedro Vairo;Ushuaia;Zagier & Urruty;1998;1-879568-47-0;224 p. il., fot.;Museo Marítimo de Ushuaia;español;HISTORIA FUEGUINA | USHUAIA | HISTORIA;3637;KAMSHEN;(829.0)94 VAI
1597;BNM001597;Industrias culturales: mercado y políticas públicas en Argentina;Buenos Aires;;Buenos Aires;Secretaría de Cultura de la Nación;2003;987-9355-14-8;225 p.;Signo;español;DESARROLLO CULTURAL | POLITICA CULTURAL | MERCADO DE TRABAJO | PROPIEDAD INTELECTUAL | ARTESANIA | CINE | TELEVISION | RADIODIFUSION | DERECHOS DE AUTOR | LIBROS | MUSICA | PRENSA | ARGENTINA | MERCOSUR | POLITICAS PUBLICAS | CULTURA;003642 | 003813;KAMSHEN;008(82) IND | 008(82) IND
1598;BNM001598;Alternancia y construcción de alternativas educativas: la aventura de una formación-acción-investigación universitaria;García-Marirrodriga, Roberto | Durand, Julio César | Pineau, Gastón;, coordinado por Roberto García-Marirrodriga,  y Julio César Durand,  y Gastón Pineau;Buenos Aires;Miño y Dávila Editores;2009;978-84-92613-24-3;189 p.;Eduación, crítica & debate;español;EDUCACION SUPERIOR | INVESTIGACION | UNIVERSIDADES | EDUCACION ALTERNATIVA | DIDACTICA | APRENDIZAJE | METODOLOGIA DE LA INVESTIGACION | LICENCIATURA | EXPERIENCIAS EDUCATIVAS | EDUCACION;3660;KAMSHEN;378 ALT
1599;BNM001599;Teoría y préctica en la universidad: la innovación en las aulas;Lucarelli, Elisa;Elisa Lucarelli;Buenos Aires;Miño y Dávila Editores;2009;978-84-92613-21-2;286 p.;Eduación, crítica & debate;español;EDUCACION SUPERIOR | FORMACION PROFESIONAL | UNIVERSIDADES | DIDACTICA | APRENDIZAJE | EDUCACION;3659;KAMSHEN;378 LUC
1601;BNM001601;Madiación para resolver conflictos;Highton, Elena I | Alvarez, Gladys S;Elena I. Highton , Gladys S. Alvarez;Buenos Aires;Ad-Hoc;2004;950-894-025-5;435 p.;Resolución alternativa de disputas;español;MEDIACION | CONFLICTOS | DERECHO | PODER JUDICIAL | ETICA | CONCILIACION | DERECHOS CIVILES;3645;KAMSHEN;347 HIG
1602;BNM001602;Formas alternativas para la resolución de conflictos: arbitraje, mediación, conciliación, ombdsman, precesos alternativos;Gozaíni, Osvaldo Alfredo;Osvaldo Alfredo Gozaíni;Buenos Aires;Depalma;1995;950-14-0826-4;380 p.;;español;MEDIACION | DEFENSOR DEL PUEBLO | CONFLICTOS | DERECHOS CIVILES | CONCILIACION | DERECHO;3643;KAMSHEN;347 GOZ
1603;BNM001603;Couseling dentrado en la persona en acción;Mearns, Dave | Thorne, Brian;Dave Mearns , Brian Thorne;Buenos Aires;Gran Aldea;2009;978-987-1301-19-5;318 p.;Profesional;español;PSICOLOGIA | TERAPEUTICA | DESARROLLO DE CAPACIDADES | COUNSELING | ADMINISTRACION Y ORGANIZACION;3703;KAMSHEN;159.9 MEA
1604;BNM001604;La gente o el capital: desarrollo local y economía del trabajo;Coraggio, José Luis;José Luis Coraggio;Buenos Aires;Espacio;2004;950-802-188-8;352 p.;Ciencias Sociales;español;ECONOMIA | DESARROLLO ECONOMICO Y SOCIAL | PRODUCCION | EDUCACION | TRABAJO | DESARROLLO REGIONAL | UNIVERSIDADES | GOBIERNO LOCAL | COMUNICACION | DESARROLLO LOCAL | AMERICA LATINA;003704 | 001922;KAMSHEN;330.34 COR | 330.34 COR
1605;BNM001605;Crisis y regímenes: una introducción a la teoría de la regulación;Boyer, Robert;Robert Boyer;Buenos Aires;Miño y Dávila;2007;978-84-96571-46-4;128 p.;Nuevas teorías económicas;español;ECONOMIA | TEORIA ECONOMICA | MARXISMO | CAPITALISMO | ECONOMIA POLITICA | INSTITUCIONES | RECESION ECONOMICA;3648;KAMSHEN;346.7 BOY
1606;BNM001606;Anatomía de la organización;Lazzati, Santiago C;Santiago C. Lazzati;Buenos Aires;Macchi;1997;950-537-380-5;250 p.;;español;ADMINISTRACION | GESTION | LIDERAZGO | GERENTES | ORGANIZACION | NEGOCIOS | MANAGEMENT | ADMINISTRACION Y ORGANIZACION;3702;KAMSHEN;658 LAZ
1607;BNM001607;"Ayúdele a la gente a ganar en el trabajo: una filosofía llamada: ""No califique mi examen, ayúdeme a obtener la mejor nota""";Blanchard, Ken | Ridge, Garry | Meléndez, Esperanza;Ken Blanchard ,  y Garry Ridge,  y Esperanza Meléndez;Bogotá;Norma;2010;978-958-45-2431-7;171 p.;Liderazgo al más alto nivel;español;LIDERAZGO | ORGANIZACION | TRABAJO | ESPIRITU DE EMPRESA | CALIDAD DE VIDA | EMPLEADOS | NEGOCIOS | ADMINISTRACION Y ORGANIZACION;3699;KAMSHEN;658 BLA
1608;BNM001608;Ontología del ser social: el trabajo;Lukács, György;György Lukács;Buenos Aires;Herramienta;2004;987-21194-3-0;206 p.;;español;TRABAJO | METAFISICA | MARXISMO | ETICA | FILOSOFIA | ALIENACION | ECONOMIA | SOCIOLOGIA;3657;KAMSHEN;111:331 LUK
1609;BNM001609;Alineando la organización: estrategias y prácticas de recursos humanos para managers;Hatum, Andrés;Andrés Hatum;Buenos Aires;Granica;2009;978-950-641-561-7;190 p.;Management;español;RECURSOS HUMANOS | ORGANIZACION | EMPRESA | SELECCION DE PERSONAL | DESEMPENO | MANAGEMENT | ADMINISTRACION Y ORGANIZACION;3674;KAMSHEN;658.3 HAT
1610;BNM001610;Protocolo y ceremonial: oficial, empresario y social, teoría y práctica;Berisso, María;María Berisso;Buenos Aires;Espasa Calpe;2008;978-950-852-143-9;436 p.;;español;EMPRESAS | ORGANIZACION PUBLICA | CALIDAD DE LA RECEPCION | CEREMONIAL | CEREMONIAL SOCIAL | CEREMONIAL ESCRITO | CULTURA;3682;KAMSHEN;395 BER
1611;BNM001611;Investigación en sistemas y servicios de salud: bases epistemológicas, metodología, abordaje operativao y formación de recursos humanos;Lemus, Jorge Daniel | Aragües y Oroz, Valentín;Jorge Daniel Lemus , Valentín Aragües y Oroz;Rosario;Corpus;2007;950-9030-31-7;158 p.;;español;SALUD | SALUD PUBLICA | SERVICIOS DE SALUD | INVESTIGACION | INVESTIGACION CIENTIFICA | INVESTIGACION OPERATIVA | FORMULACION DEL PROBLEMA | MONOGRAFIAS | MEDICINA Y SALUD;3684;KAMSHEN;61+001.8 LEM
1612;BNM001612;Desarrollo organizacional: principios y aplicaciones;Guízar Montúfar, Rafael;Rafael Guízar Montúfar;México;McGraw Hill Interamericana;2008;978-970-10-6484-9;543 p.;;español;CAMBIO ORGNIZACIONAL | RECOPILACION DE DATOS | RECURSOS HUMANOS | ADMINISTRACION | ADMINISTRACION Y ORGANIZACION;3636;KAMSHEN;658 GUI
1613;BNM001613;Asistencia de enfermería materno-neonatal;Towle, Mery Ann;Mery Ann Towle;Madrid;Pearson;2010;978-84-8322-654-4;580 p.;;español;NINOS | FAMILIAS | REPRODUCCION HUMANA | SALUD MATERNOINFANTIL | SALUD DE LA MUJER | EMBARAZO | NUTRICION | ENFERMERIA | TECNICAS DE ENFERMERIA | MEDICINA Y SALUD;3722;KAMSHEN;613.95 TOW
1614;BNM001614;Historia de la belleza;Eco, Umberto | Pons Irazazábal, María;Umberto Eco , traducido por María Pons Irazazábal;Madrid;Debols!Llo;2004;978-84-9908-701-6;438 p.;;español;ARTE | ARQUITECTURA | DISENO | ESTETICA | BELLAS ARTES | BELLEZA;3723;KAMSHEN;7 ECO
1615;BNM001615;Cocina española: para hoy;;;Londres;Parragon;2007;978-1-4075-1226-6;240 p. fot.;;español;GASTRONOMIA | ALIMENTOS | ESPANA | RECETAS | CULTURA;3729;KAMSHEN;641.568(460) COC
1616;BNM001616;El tablero de comando para hoteles: una nueva herramienta de gestión estratégica;Feijoó, José Luis;José Luis Feijoó;San Luis;Macchi;2007;978-987-1420-01-8;138 p. cuad.;Turiamo y hotelería;español;HOTELERIA | GESTION | PLANIFICACION ESTRATEGICA | EMPRESA HOTELERA | HOSPITALIDAD | TURISMO;003728 | 003688;KAMSHEN;640.41:65 FEI | 640.41:65 FEI
1617;BNM001617;Memorias de papel: una arqueología visual de las fotografías de los pueblos originarios fueguinos;Fiore, Dánae | Varela, María Lidia;;Buenos Aires;Dunken;2009;978-987-02-4339-7;382 p.;;español;ABORIGENES | ARQUEOLOGIA | FOTOGRAFIA | ENSAYO | SELK´NAM | YAMANA | ALAKALUF | HISTORIA FUEGUINA | ESTETICA | TIERRA DEL FUEGO;3726;KAMSHEN;572 FIO
1618;BNM001618;Acto administrativo;Dromi, Roberto;Roberto Dromi;Buenos Aires;Ciudad Argentina;2008;978-987-507-279-4;458 p.;;español;DERECHO ADMINISTRATIVO | JURISPRUDENCIA | ADMINISTRACION | ARGENTINA | ACTO ADMINISTRATIVO | DERECHO;3725;KAMSHEN;342.9 DRO
1619;BNM001619;La formación del estado argentino: orden, progreso y organización nacional;Oszlak, Oscar;Oscar Oszlak;Buenos Aires;Emece;2009;978-950-04-3150-7;336 p.;;español;POLITICA | CIENCIAS POLITICAS | FORMACION DEL ESTADO ARGENTINO | HISTORIOGRAFIA | ORDEN | PROGRESO | ORGANIZACION NACIONAL;3727;KAMSHEN;321.01(09) OSZ
1620;BNM001620;La historia del arte;Gombrich, E. H;E. H. Gombrich;Londres;Phaidon;1997;978-0-7148-9870-4;688 p.;;español;ARTE | ARTES PLASTICAS | HISTORIA DEL ARTE | HISTORIA;3724;KAMSHEN;7(091) GOM
1621;BNM001621;Estudios de historia ecconómica argentina: desde mediados del siglo XX a la actualidad;Basualdo, Eduardo M;Eduardo M. Basualdo;Buenos Aires;Siglo XXI;2010;978-987-629-118-7;495 p. Cuad., diag., gráf.;;español;HISTORIA ECONOMICA | ECONOMIA | POLITICA ECONOMICA | FINANZAS PUBLICAS | ENDEUDAMIENTO | IMPORTACIONES | CAPITAL | INFLACION | DEUDA EXTERNA | DISTRIBUCION DEL INGRESO | ARGENTINA | CONVERTABILIDAD | HISTORIA;3651;KAMSHEN;94(82) BAS
1622;BNM001622;Operación traviata: ¿quién mató a Rucci?;Reato, Ceferino;Ceferino Reato;Buenos Aires;Sudamericana;2009;978-950-07-3095-2;390 p. fotograf.;Investigación periodística;español;HISTORIA ARGENTINA | CIENCIA POLITICA | CRONICAS | HISTORIA SINDICAL | MOVIMIENTO AL SOCIALISMO | SINDICALISMO | TERRORISMO | DICTADURA | ARGENTINA | OPERACION TRAVIATA | CONFEDERACION GENERAL DEL TRABAJO | RUCCI | HISTORIA;3650;KAMSHEN;321.65 REA
1623;BNM001623;Régimen de la ley 19.640 y otras normas aplicables en materia de promoción económica de la provincia de Tierra del Fuego, Antártida e Islas del Atlántico Sur;Tierra del Fuego, Antártida e Islas del Atlántico Sur | Consejo Federal de Inversiones;Tierra del Fuego, Antártida e Islas del Atlántico Sur;La Plata;[El autor];2006;;368 p.;;español;LEGISLACION | PROMOCION INDUSTRIAL | EXPORTACIONES | INDUSTRIA | ADUANA | IMPUESTOS | PROTECCION DEL MEDIO AMBIENTE | TIERRA DEL FUEGO | MERCOSUR | DERECHO;002421 | 002422 | 002423 | 002424 | 002425 | 002426 | 005616;KAMSHEN;(828.9)34 REG | (828.9)34 REG | (828.9)34 REG | (828.9)34 REG | (828.9)34 REG | (828.9)34 REG | (828.9)34 REG
1624;BNM001624;Logística y turismo;Muñoz Machado, Andrés;Andrés Muñoz Machado;Madrid;Díaz de Santos;2005;84-7978-704-X;"168 p. cuad.; graf.";;español;TURISMO | GESTION | VIAJES | COMPRAS | SERVICIOS TURISTICOS | INSTALACION HOTELERA | CALIDAD;3687;KAMSHEN;379.85 MUN
